Ticker,Date,ClosePrice,ChangePct,AbsChange,OvernightReturn,20D_Range,VolRatio,5D_Change,Direction,Volume,DayOfWeek,Bin,RangeBin,VolBin,Month,OvernightAbs,AvgOvernightVol20,VolSpike,GapBin
AAPL,2025-08-28,231.9039306640625,0.8980879291928812,0.8980879291928812,-0.021505422946443975,92.43693558646055,0.6460671845595598,3.405961272507785,Up,38074700.0,Thursday,<1%,75-100%,<0.8x,August,0.021505422946443975,0.5027464522867076,0.042775882054717725,-0.5 to 0%
AAPL,2025-08-29,231.485107421875,-0.18060204541949787,0.18060204541949787,-1.2449343192120876,91.14907202234035,0.7079170500175729,1.923077698283504,Down,39418400.0,Friday,<1%,75-100%,<0.8x,August,1.2449343192120876,0.5123695728604993,2.4297584890956054,-2 to -1%
AAPL,2025-09-02,229.0719451904297,-1.042469754672981,1.042469754672981,3.2604915111126287,83.729703267785,0.8142463742051738,1.1269667101578396,Down,44075600.0,Tuesday,1-2%,75-100%,0.8-1.2x,September,3.2604915111126287,0.6741651763399281,4.836339261564915,>2%
AAPL,2025-09-03,237.79725646972656,3.8089829254487784,3.8089829254487784,-0.008393721125277143,98.86542262126656,1.2024397864173204,3.9945977702422697,Up,66427800.0,Wednesday,3-5%,75-100%,1.2-2x,September,0.008393721125277143,0.6078095576952208,0.013809787982120016,-0.5 to 0%
AAPL,2025-09-04,239.10354614257812,0.5493291605817463,0.5493291605817463,0.09174719745581594,99.49080196557634,0.9109517611908388,4.030537791200417,Up,47549400.0,Thursday,<1%,75-100%,0.8-1.2x,September,0.09174719745581594,0.4803921833986141,0.19098395150132375,0 to 0.5%
AAPL,2025-09-05,239.0137939453125,-0.03753695782166,0.03753695782166,-0.1627076523214921,92.69663617848403,1.0880556179360308,3.0658657923092303,Down,54870400.0,Friday,<1%,75-100%,0.8-1.2x,September,0.1627076523214921,0.4703482930854147,0.345930143073666,-0.5 to 0%
AAPL,2025-09-08,237.2089080810547,-0.7551387869566994,0.7551387869566994,-0.36993420230881924,80.38768619289498,1.038409902716953,2.4726431531287396,Down,48999500.0,Monday,<1%,75-100%,0.8-1.2x,September,0.36993420230881924,0.46330918408515115,0.798460757990995,-0.5 to 0%
AAPL,2025-09-09,233.68887329101562,-1.4839387013392713,1.4839387013392713,-0.92169811099162,60.26227918086621,1.398660351587052,2.0154925985143457,Down,66313900.0,Tuesday,1-2%,50-75%,1.2-2x,September,0.92169811099162,0.491126707876664,1.8767012589815921,-1 to -0.5%
AAPL,2025-09-10,226.1501922607422,-3.2259477843797124,3.2259477843797124,0.03968958664946065,17.1607097027902,1.709741395897029,-4.897896797420431,Down,83440800.0,Wednesday,3-5%,0-25%,1.2-2x,September,0.03968958664946065,0.462194156146592,0.08587210833724278,0 to 0.5%
AAPL,2025-09-11,229.3810577392578,1.4286370691166894,1.4286370691166894,-0.35212734538689894,35.632823370598146,1.0499569476371389,-4.066225097942611,Up,50208600.0,Thursday,1-2%,25-50%,0.8-1.2x,September,0.35212734538689894,0.4641577609205455,0.758637202766014,-0.5 to 0%
AAPL,2025-09-12,233.40966796875,1.756295951024689,1.756295951024689,1.2517541848265479,58.665953835894825,1.1626391464179893,-2.3446872601188606,Up,55824200.0,Friday,1-2%,50-75%,0.8-1.2x,September,1.2517541848265479,0.500540448689571,2.50080525580635,1 to 2%
AAPL,2025-09-15,236.0322265625,1.1235861035975292,1.1235861035975292,0.20279353644996334,73.66014061537459,0.9018205795331641,-0.49605283716942505,Up,42699500.0,Monday,1-2%,50-75%,0.8-1.2x,September,0.20279353644996334,0.5083050334903512,0.39896031533949555,0 to 0.5%
AAPL,2025-09-16,237.4781494140625,0.6125955224930424,0.6125955224930424,0.34432584537016364,81.9270435386169,1.303744211549078,1.6215047253568038,Up,63421100.0,Tuesday,<1%,75-100%,1.2-2x,September,0.34432584537016364,0.5170757628791672,0.6659098532348486,0 to 0.5%
AAPL,2025-09-17,238.3157958984375,0.3527257082143187,0.3527257082143187,0.4100493252532367,86.71619405438634,0.9491307508832796,5.379435461044779,Up,46508000.0,Wednesday,<1%,75-100%,0.8-1.2x,September,0.4100493252532367,0.525000042325301,0.7810462708480347,0 to 0.5%
AAPL,2025-09-18,237.2089080810547,-0.4644626316983702,0.4644626316983702,1.408274514393848,80.38768619289498,0.9012155012096763,3.4125966716462397,Down,44249600.0,Thursday,<1%,75-100%,0.8-1.2x,September,1.408274514393848,0.5896613294025921,2.3882768704208965,1 to 2%
AAPL,2025-09-19,244.8074188232422,3.203299068174581,3.203299068174581,1.1405311934045592,96.29799685903924,2.9367520916839047,4.883152850385852,Up,163741300.0,Friday,3-5%,75-100%,>2x,September,1.1405311934045592,0.6184531023298001,1.8441676322877472,1 to 2%
AAPL,2025-09-22,255.35755920410156,4.309567263758818,4.309567263758818,-0.07809378914114262,98.24717441412972,1.7912267956612606,8.187582231057888,Up,105517400.0,Monday,3-5%,75-100%,1.2-2x,September,0.07809378914114262,0.5942577528976611,0.13141400134932926,-0.5 to 0%
AAPL,2025-09-23,253.71221923828125,-0.6443278871197333,0.6443278871197333,0.31050162987491525,91.08727770416259,0.9983883390616589,6.836026752050062,Down,60275200.0,Tuesday,<1%,75-100%,0.8-1.2x,September,0.31050162987491525,0.6033996491644622,0.5145870242133421,0 to 0.5%
AAPL,2025-09-24,251.59820556640625,-0.8332328960039437,0.8332328960039437,0.3567021214239796,83.9757958192182,0.7079059146474008,5.573449136216424,Down,42303700.0,Wednesday,<1%,75-100%,<0.8x,September,0.3567021214239796,0.605971695661786,0.5886448558202421,0 to 0.5%
AAPL,2025-09-25,256.14532470703125,1.8072939472633998,1.8072939472633998,-1.0783603892971505,98.5026610483112,0.905604791385795,7.983012433709269,Up,55202100.0,Thursday,1-2%,75-100%,0.8-1.2x,September,1.0783603892971505,0.6527307799473026,1.6520752849807552,-2 to -1%
AAPL,2025-09-26,254.73931884765625,-0.54890943685314,0.54890943685314,-0.35230583480421185,93.23854946668402,0.7509647771192908,4.057025751979015,Down,46076300.0,Friday,<1%,75-100%,<0.8x,September,0.35230583480421185,0.669270800540191,0.5264025182629423,-0.5 to 0%
AAPL,2025-09-29,253.71221923828125,-0.4031963397017835,0.4031963397017835,0.1690082245686897,89.98418847434766,0.6536349717522453,-0.6443278871197333,Down,40127700.0,Monday,<1%,75-100%,<0.8x,September,0.1690082245686897,0.615474495808021,0.2745982582865737,0 to 0.5%
AAPL,2025-09-30,253.9116668701172,0.07861175643599783,0.07861175643599783,0.16101101047070188,90.6161374957826,0.6173640611307378,0.07861175643599783,Up,37704300.0,Tuesday,<1%,75-100%,<0.8x,September,0.16101101047070188,0.4605004707759247,0.34964353065569037,0 to 0.5%
AAPL,2025-10-01,254.72933959960938,0.32203038937570483,0.32203038937570483,0.44235023247130023,89.82944367300783,0.8093711393981575,1.2444977602897422,Up,48713900.0,Wednesday,<1%,75-100%,0.8-1.2x,October,0.44235023247130023,0.48219829634322586,0.9173616659907027,0 to 0.5%
AAPL,2025-10-02,256.40460205078125,0.6576637201686664,0.6576637201686664,-0.9567138852008661,94.9451607892154,0.7111981146248122,0.10122275081403398,Up,42630200.0,Thursday,<1%,75-100%,<0.8x,October,0.9567138852008661,0.5254466307304784,1.8207631931540562,-1 to -0.5%
AAPL,2025-10-03,257.2920837402344,0.34612549164674267,0.34612549164674267,-0.011631864389460844,96.33523132446302,0.8239890793235074,1.0021087063142975,Up,49155600.0,Friday,<1%,75-100%,0.8-1.2x,October,0.011631864389460844,0.5178928413338768,0.02245998295613045,-0.5 to 0%
AAPL,2025-10-06,255.96583557128906,-0.5154640398047805,0.5154640398047805,0.04675410778420819,92.34003590624252,0.7514290941744776,0.888256915561203,Down,44664100.0,Monday,<1%,75-100%,<0.8x,October,0.04675410778420819,0.5017338366076463,0.09318508016187416,0 to 0.5%
AAPL,2025-10-07,255.75645446777344,-0.08180041021814688,0.08180041021814688,0.015593796466784049,91.70929541210647,0.5536254848108062,0.7265469997485008,Down,31955800.0,Tuesday,<1%,75-100%,<0.8x,October,0.015593796466784049,0.45642862088140446,0.03416480858862671,0 to 0.5%
AAPL,2025-10-08,257.3320007324219,0.6160338232429563,0.6160338232429563,-0.09689003325422663,96.37934497699156,0.6591008108080043,1.0217359087506095,Up,36496900.0,Wednesday,<1%,75-100%,<0.8x,October,0.09689003325422663,0.4592886432116428,0.21095673643639204,-0.5 to 0%
AAPL,2025-10-09,253.32330322265625,-1.5577920734133444,1.5577920734133444,0.35428186399031336,82.79281184545441,0.6995689715366776,-1.2017330435881712,Down,38322000.0,Thursday,1-2%,75-100%,<0.8x,October,0.35428186399031336,0.4593963691418135,0.7711899522674465,0 to 0.5%
AAPL,2025-10-10,244.57806396484375,-3.452204809648307,3.452204809648307,1.675710058244806,42.2966185723806,1.1254517529074743,-4.941473359991466,Down,61999100.0,Friday,3-5%,25-50%,0.8-1.2x,October,1.675710058244806,0.4805941628127264,3.486746589757857,1 to 2%
AAPL,2025-10-13,246.96133422851562,0.9744415443628807,0.9744415443628807,-0.42800922125245666,49.47648912586938,0.6952725064144676,-3.5178528113630203,Up,38142900.0,Monday,<1%,25-50%,<0.8x,October,0.42800922125245666,0.491854947052851,0.8701939948292643,-0.5 to 0%
AAPL,2025-10-14,247.07101440429688,0.04441188177246591,0.04441188177246591,0.6941943327781308,49.22539009369945,0.66359658011524,-3.3959807902212535,Up,35478000.0,Tuesday,<1%,25-50%,<0.8x,October,0.6941943327781308,0.5093483714232494,1.3629067485547752,0.5 to 1%
AAPL,2025-10-15,248.63658142089844,0.6336506208048043,0.6336506208048043,-0.4371491202078692,56.17534939289565,0.6415295438024541,-3.379066453754065,Up,33893600.0,Wednesday,<1%,50-75%,<0.8x,October,0.4371491202078692,0.510703361170981,0.8559746291967595,-0.5 to 0%
AAPL,2025-10-16,246.75192260742188,-0.7579973963228515,0.7579973963228515,0.23034539871769066,38.04522334316067,0.756089445398498,-2.594068738105204,Down,39777000.0,Thursday,<1%,25-50%,<0.8x,October,0.23034539871769066,0.45180690538717316,0.5098315142401323,0 to 0.5%
AAPL,2025-10-17,251.5782470703125,1.9559419889786378,1.9559419889786378,1.4269354513878785,54.3962898732834,1.0483767406995947,2.8621467485632657,Up,49147000.0,Friday,1-2%,50-75%,0.8-1.2x,October,1.4269354513878785,0.4661271182863391,3.0612581748812144,1 to 2%
AAPL,2025-10-20,261.50018310546875,3.9438767662544505,3.9438767662544505,-0.13728494626183974,89.4994437291803,1.9615881399826827,5.8870952096088836,Up,90483000.0,Monday,3-5%,75-100%,1.2-2x,October,0.13728494626183974,0.469086676142374,0.29266434807065794,-0.5 to 0%
AAPL,2025-10-21,262.0286560058594,0.202092745830873,0.202092745830873,-0.04565792979642769,88.16335820693507,1.0274474676861953,6.053984777464194,Up,46695900.0,Tuesday,<1%,75-100%,0.8-1.2x,October,0.04565792979642769,0.45584449113844955,0.1001611968204315,-0.5 to 0%
AAPL,2025-10-22,257.72088623046875,-1.6440071254245958,1.6440071254245958,0.5765036078783536,67.87232990549319,0.9875233730405831,3.6536477286068347,Down,45015300.0,Wednesday,1-2%,50-75%,0.8-1.2x,October,0.5765036078783536,0.46683456546116836,1.2349205704355832,0.5 to 1%
